##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	28.652620099259046	32.0	32.0	32.0	12.0	32.0
2	28.849100274346508	32.0	32.0	32.0	12.0	32.0
3	31.37746702848735	37.0	32.0	37.0	12.0	37.0
4	32.11221750487088	37.0	32.0	37.0	12.0	37.0
5	32.38687993075417	37.0	32.0	37.0	12.0	37.0
6	34.71526451667278	41.0	32.0	41.0	12.0	41.0
7	34.71842010448934	41.0	32.0	41.0	12.0	41.0
8	34.81163687454464	41.0	32.0	41.0	12.0	41.0
9	35.089581851586225	41.0	32.0	41.0	12.0	41.0
10-11	35.05466442586079	41.0	32.0	41.0	12.0	41.0
12-13	35.06420313972079	41.0	32.0	41.0	12.0	41.0
14-15	34.97696729833526	41.0	32.0	41.0	12.0	41.0
16-17	34.7654677122195	41.0	32.0	41.0	12.0	41.0
18-19	34.89611180524663	41.0	32.0	41.0	12.0	41.0
20-21	34.834982750194	41.0	32.0	41.0	12.0	41.0
22-23	34.72020033514528	41.0	32.0	41.0	12.0	41.0
24-25	34.848778563872514	41.0	32.0	41.0	12.0	41.0
26-27	34.838843377506734	41.0	32.0	41.0	12.0	41.0
28-29	34.80807495660957	41.0	32.0	41.0	12.0	41.0
30-31	34.753670758174394	41.0	32.0	41.0	12.0	41.0
32-33	34.398930946982574	41.0	32.0	41.0	12.0	41.0
34-35	34.18941744964115	41.0	32.0	41.0	12.0	41.0
36-37	34.04243180598375	41.0	27.0	41.0	12.0	41.0
38-39	33.955228620057525	41.0	27.0	41.0	12.0	41.0
40-41	34.24443095694181	41.0	32.0	41.0	12.0	41.0
42-43	34.45213183916766	41.0	32.0	41.0	12.0	41.0
44-45	34.578471136435724	41.0	32.0	41.0	12.0	41.0
46-47	34.58229395929558	41.0	32.0	41.0	12.0	41.0
48-49	34.55932284230408	41.0	32.0	41.0	12.0	41.0
50-51	34.54454414672572	41.0	32.0	41.0	12.0	41.0
52-53	34.60190163172962	41.0	32.0	41.0	12.0	41.0
54-55	34.4297052621224	41.0	32.0	41.0	12.0	41.0
56-57	34.5017144793629	41.0	32.0	41.0	12.0	41.0
58-59	34.42146453501945	41.0	32.0	41.0	12.0	41.0
60-61	34.31962191346628	41.0	32.0	41.0	12.0	41.0
62-63	34.342850039762425	41.0	32.0	41.0	12.0	41.0
64-65	34.30466777948162	41.0	32.0	41.0	12.0	41.0
66-67	34.27948334049901	41.0	32.0	41.0	12.0	41.0
68-69	34.19242012589831	41.0	32.0	41.0	12.0	41.0
70-71	34.21942907010666	41.0	32.0	41.0	12.0	41.0
72-73	34.14366186667549	41.0	32.0	41.0	12.0	41.0
74-75	34.10858160402803	41.0	32.0	41.0	12.0	41.0
76-77	33.42069858834921	39.0	29.5	41.0	12.0	41.0
78-79	33.5967598873888	41.0	27.0	41.0	12.0	41.0
80-81	34.02950359772376	41.0	32.0	41.0	12.0	41.0
82-83	34.125062245234915	41.0	32.0	41.0	12.0	41.0
84-85	34.020318030298576	41.0	29.5	41.0	12.0	41.0
86-87	33.93546166757203	41.0	27.0	41.0	12.0	41.0
88-89	33.867008169149315	41.0	27.0	41.0	12.0	41.0
90-91	33.771406906941294	41.0	27.0	41.0	12.0	41.0
92-93	33.65099809853087	41.0	27.0	41.0	12.0	41.0
94-95	33.501072108538615	41.0	27.0	41.0	12.0	41.0
96-97	33.43136347518043	41.0	27.0	41.0	12.0	41.0
98-99	33.2534278408522	41.0	27.0	41.0	12.0	41.0
100-101	32.284609332984466	39.0	24.5	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1103	16-17	-1.9161329327152288
1103	18-19	-1.611733059538878
1103	20-21	-1.7499391759075067
1103	22-23	-1.8638861947444099
1103	24-25	-1.6936052508896324
1103	26-27	-1.807739964346652
1103	28-29	-1.5551973018905159
1103	30-31	-1.7608937313648738
1103	32-33	-1.632283035424102
1103	34-35	-1.8363658200216904
1103	36-37	-1.8570778895464173
1103	38-39	-2.087403605561665
1103	40-41	-1.9662724696774205
1103	42-43	-1.9834883262359568
1103	44-45	-1.7980834515301964
1103	46-47	-1.812970558486441
1103	48-49	-1.7953661734095192
1103	50-51	-1.7832795642722132
1103	52-53	-1.8546823338104304
1103	54-55	-1.7308543553529603
1103	56-57	-1.7995959000877875
1103	58-59	-1.8905756456389327
1103	60-61	-1.5681668678768261
1103	62-63	-1.682888611251279
1103	64-65	-1.782628126568234
1103	66-67	-1.6801143510857486
1103	68-69	-1.7845168946148746
1103	70-71	-1.7442413726734358
1103	72-73	-1.7099055242361558
1103	74-75	-1.8585545299980737
1103	76-77	-1.7855329196989551
1103	78-79	-1.7039906891235859
1103	80-81	-1.6981644321811515
1103	82-83	-1.716426765462998
1103	84-85	-1.736274455495149
1103	86-87	-1.7793386325005116
1103	88-89	-1.943954494464922
1103	90-91	-2.009980931758218
1103	92-93	-1.799215921370891
1103	94-95	-1.9488434718994867
1103	96-97	-2.0132614365358776
1103	98-99	-1.9619626898554046
1103	100-101	-2.037384669080179
1104	1	-1.226978456034999
1104	2	-1.827324517092908
1104	3	-2.7739110093005053
1104	4	-2.5202457608928768
1104	5	-2.5853022071498017
1104	6	-3.723755697890006
1104	7	-3.3549896241235686
1104	8	-3.269392629517192
1104	9	-2.738339766511217
1104	10-11	-2.2168885650866557
1104	12-13	-1.7201324028809708
1104	14-15	-1.4088699242002818
1104	16-17	-1.3073486072300682
1104	18-19	-1.5446711195460594
1104	20-21	-1.4672972969212523
1104	22-23	-1.4029917145256974
1104	24-25	-1.26106695997926
1104	26-27	-1.4541318976637285
1104	28-29	-1.457252484640648
1104	30-31	-1.4075634562988313
1104	32-33	-1.2632687361048909
1104	34-35	-1.5442476379977066
1104	36-37	-1.478832474977608
1104	38-39	-1.7277691713950105
1104	40-41	-1.6564737491987458
1104	42-43	-1.5827300468374759
1104	44-45	-1.4081539667053775
1104	46-47	-1.2666040598244095
1104	48-49	-1.3969115146941604
1104	50-51	-1.4862848126951889
1104	52-53	-1.4587521554706484
1104	54-55	-1.363502062118961
1104	56-57	-1.5251024806371731
1104	58-59	-1.5286405939417662
1104	60-61	-1.3638784649102647
1104	62-63	-1.4911905097031664
1104	64-65	-1.5087483249959135
1104	66-67	-1.4489620718428569
1104	68-69	-1.556762253838663
1104	70-71	-1.4930586925678142
1104	72-73	-1.3921243814486246
1104	74-75	-1.4979362498106639
1104	76-77	-1.5232664841880137
1104	78-79	-1.4969608941255643
1104	80-81	-1.5788442474775408
1104	82-83	-1.5193021548367724
1104	84-85	-1.621253454393461
1104	86-87	-1.4652614860060353
1104	88-89	-1.5766892521312599
1104	90-91	-1.7297800698201442
1104	92-93	-1.6010680782067297
1104	94-95	-1.8615414798507715
1104	96-97	-1.8330190931257242
1104	98-99	-1.5762286007019313
1104	100-101	-1.7806029308621873
1105	1	-1.2157863734858765
1105	2	-1.757175196318233
1105	3	-2.6167613216515946
1105	4	-2.551808234984424
1105	5	-2.697275612719647
1105	6	-3.6092002845512496
1105	7	-3.4859311800669097
1105	8	-3.223777503673009
1105	9	-3.193124125418766
1105	10-11	-2.949384647142942
1105	12-13	-1.6542372124203055
1105	14-15	-1.2983530346077714
1105	16-17	-1.408769306179309
1105	18-19	-1.1521528610377132
1105	20-21	-1.1550673257715118
1105	22-23	-1.3698994817109593
1105	24-25	-1.1801267861098097
1105	26-27	-1.2093739826682537
1105	28-29	-1.2422108789587298
1105	30-31	-1.1809907330246006
1105	32-33	-1.1218679617897962
1105	34-35	-1.2725573811049529
