##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1105	66-67	-0.4209224729930554
1105	68-69	-0.34742545695064564
1105	70-71	-0.28779629483521063
1105	72-73	-0.17324003181112602
1105	74-75	-0.16560942287838998
1105	76-77	-0.2710442616317863
1105	78-79	-0.1988937251550169
1105	80-81	0.12300203298813273
1105	82-83	-0.05545887624109014
1105	84-85	-0.11512558426912278
1105	86-87	-0.18281206656876492
1105	88-89	0.14081789513866738
1105	90-91	0.2037183525986066
1105	92-93	0.16526556589727903
1105	94-95	0.3721570773213898
1105	96-97	0.2516911335935248
1105	98-99	0.3940759720476308
1105	100-101	0.03528490986806787
1106	1	-1.5453497058358714
1106	2	-0.25728773704019403
1106	3	-0.2635579619023787
1106	4	-0.06329719807786915
1106	5	0.14552958021342022
1106	6	0.10277553905076076
1106	7	-0.059906817201969886
1106	8	0.0036560983772204736
1106	9	-0.10375376674432601
1106	10-11	-0.019887316888890894
1106	12-13	-0.06987983526313712
1106	14-15	0.03309810881846431
1106	16-17	0.0024114591242820893
1106	18-19	0.04016112109469816
1106	20-21	0.1796462940942689
1106	22-23	0.11777013984923457
1106	24-25	-0.03328612351676696
1106	26-27	0.009223809947592088
1106	28-29	0.038446011202402985
1106	30-31	0.016099417084205925
1106	32-33	-0.028654360606203966
1106	34-35	-0.1713491945327732
1106	36-37	-0.20639612043648725
1106	38-39	-0.09054731381299774
1106	40-41	-0.16985163162494388
1106	42-43	-0.19396895856701946
1106	44-45	-0.09104415130948951
1106	46-47	-0.14104935523563
1106	48-49	-0.24096167821635106
1106	50-51	-0.280365831045998
1106	52-53	-0.09217573441297588
1106	54-55	-0.2573034171445343
1106	56-57	-0.2513384500743783
1106	58-59	-0.15116348450336403
1106	60-61	-0.1835594456849492
1106	62-63	-0.17853644538500646
1106	64-65	-0.284887536048565
1106	66-67	-0.2525103048586743
1106	68-69	-0.23638233135168463
1106	70-71	-0.05964441949264199
1106	72-73	-0.025391763255065314
1106	74-75	-0.015829890789099466
1106	76-77	-0.2731039153494592
1106	78-79	-0.16390764914939382
1106	80-81	0.02346022589989616
1106	82-83	0.020646701805375756
1106	84-85	-0.11037578253262836
1106	86-87	-0.09859130605326527
1106	88-89	0.2280827115134656
1106	90-91	0.25283095455309024
1106	92-93	0.33880203730041814
1106	94-95	0.39119257760460613
1106	96-97	0.20374736193401333
1106	98-99	0.36068896081388147
1106	100-101	0.23132071911811636
1107	1	-0.7444227652615858
1107	2	-0.003250517102909356
1107	3	-0.21071760535757988
1107	4	-7.426244910959667E-4
1107	5	0.23895703074733632
1107	6	0.3056957339264983
1107	7	0.20446216902990955
1107	8	0.28366403635348547
1107	9	0.2158407007075951
1107	10-11	0.17765066126744244
1107	12-13	0.2117592777708026
1107	14-15	0.21835752409638332
1107	16-17	0.1919495859200211
1107	18-19	0.20342065654914876
1107	20-21	0.27481018484115083
1107	22-23	0.18970061772489544
1107	24-25	0.24043658178349148
1107	26-27	0.29052125793565864
1107	28-29	0.22321398352384847
1107	30-31	0.268717605169968
